,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,56歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,14985,15508,12980,13905,6131,6457,9481,9519,7672,7735,12224,12362,1708,1753,1595,1579,2367,2309,5755,5148,2251,2245,3517,3254,2469,2342,4158,4054,1115,1194,1632,1590,334,384,1656,1685,1459,1500,1126,1215,238,237,53,44,11925,12247,10254,10879,5018,5580,7760,8214,6200,6150,9569,9808,1631,1516,1469,1345,1979,1841,4460,4253,2046,1965,3334,3124,2005,1863,3288,3183,860,914,1308,1355,412,419,1120,1179,1238,1229,911,972,197,212,46,35,10361,10608,8628,9561,4462,4891,7046,7243,5726,5617,9006,9155,1496,1531,1310,1242,1965,1838,4012,3938,1878,1818,2781,2597,1899,1888,3011,3013,785,864,1187,1220,302,336,970,1075,985,1112,787,903,240,216,31,25,12225,12244,9818,10808,5016,5716,7675,8211,6823,7010,10393,10614,1815,1776,1576,1486,2212,2067,4915,4585,2131,2021,3260,3161,2423,2347,3788,3641,971,917,1350,1443,368,357,1284,1443,1180,1318,985,1078,297,247,51,8
93年,17026,17676,14227,15216,6920,7512,10879,10868,9307,9158,14226,14785,1940,1953,1733,1632,2479,2379,6184,5721,2743,2484,3868,3425,2918,2684,4845,4573,1149,1080,1593,1685,415,422,1825,1861,1575,1662,1306,1350,325,278,61,59,14864,15485,12783,13824,6080,6466,9396,9499,7585,7723,12085,12282,1699,1758,1598,1584,2348,2305,5724,5111,2219,2217,3482,3246,2427,2346,4131,4027,1092,1191,1607,1580,332,385,1642,1679,1437,1496,1115,1205,270,252,58,45,11790,12215,10115,10773,4981,5602,7678,8163,6133,6136,9434,9761,1615,1501,1477,1358,1973,1839,4402,4227,2028,1969,3299,3116,1983,1870,3250,3164,847,904,1285,1354,407,419,1101,1176,1220,1225,898,960,209,232,52,36,10273,10573,8459,9500,4449,4892,6952,7199,5642,5592,8883,9101,1474,1523,1304,1243,1955,1810,3971,3921,1855,1818,2746,2589,1896,1880,2962,2987,770,849,1166,1210,294,334,943,1067,982,1114,775,902,259,227,40,27
94年,20025,20653,16310,17828,8264,8730,12159,12301,10164,9888,15468,16019,2277,2266,2145,2016,2910,2690,6541,6436,2950,2803,4391,3727,3193,2887,4959,4835,1308,1357,1913,1956,489,484,2156,2235,1802,1885,1395,1505,402,354,67,47,16821,17637,14091,15087,6883,7513,10736,10811,9224,9129,14013,14661,1932,1950,1752,1653,2460,2372,6130,5687,2719,2487,3867,3419,2903,2702,4795,4561,1146,1077,1563,1668,420,426,1807,1848,1547,1662,1298,1346,358,306,70,67,14763,15415,12627,13721,6020,6493,9278,9429,7516,7710,11883,12166,1688,1756,1610,1614,2338,2291,5646,5097,2195,2207,3446,3238,2420,2338,4086,3996,1075,1178,1581,1571,337,396,1605,1667,1424,1490,1106,1200,305,278,65,48,11647,12154,9946,10697,4991,5581,7566,8122,6061,6091,9306,9702,1603,1488,1478,1381,1950,1822,4338,4211,2012,1959,3233,3096,1976,1881,3223,3134,837,902,1269,1359,419,418,1091,1172,1215,1223,894,956,238,256,60,38
95年,21137,22625,17211,19223,8684,9500,13655,13899,10959,10402,17109,17753,2554,2422,2226,2071,3133,2882,7409,6732,3210,2839,4194,3514,3225,2808,5401,5135,1250,1251,2119,2022,535,538,2281,2412,1880,1986,1396,1468,416,373,85,38,19800,20641,16246,17872,8223,8784,12046,12247,10070,9870,15314,15971,2247,2250,2147,2035,2920,2674,6484,6423,2899,2799,4339,3704,3156,2879,4925,4807,1270,1346,1877,1939,480,479,2146,2228,1796,1879,1387,1504,462,393,61,42,16709,17618,14068,15151,6848,7519,10622,10757,9138,9107,13875,14599,1911,1934,1761,1687,2436,2364,6076,5663,2697,2485,3816,3401,2885,2690,4721,4510,1127,1064,1542,1665,409,425,1789,1847,1532,1674,1267,1350,388,341,62,64,14608,15373,12595,13787,5984,6516,9175,9415,7440,7685,11740,12077,1673,1741,1617,1634,2315,2280,5571,5061,2152,2179,3426,3229,2394,2328,4029,3970,1057,1174,1572,1559,332,386,1587,1650,1421,1482,1094,1196,361,311,63,45
96年,25405,27235,19742,21620,10528,11369,15520,16379,13114,12709,19767,20934,2908,2886,2663,2539,3429,3284,8469,7956,3645,3394,5379,4638,4054,3410,6538,6006,1518,1579,2330,2274,605,591,2575,2709,2272,2461,1647,1924,577,581,83,49,21001,22541,16930,19157,8663,9501,13533,13852,10874,10377,16903,17674,2532,2440,2227,2100,3119,2881,7345,6705,3176,2834,4176,3513,3200,2812,5340,5136,1249,1240,2101,2014,536,543,2261,2405,1859,1974,1380,1454,455,395,82,40,19647,20626,15981,17763,8190,8818,11913,12180,9967,9822,15154,15915,2227,2230,2144,2049,2892,2659,6428,6420,2897,2784,4283,3690,3134,2876,4870,4785,1247,1332,1851,1936,486,478,2115,2212,1769,1870,1367,1488,497,417,60,43,16532,17579,13846,15072,6840,7526,10509,10716,9037,9069,13692,14519,1905,1935,1766,1705,2423,2358,6018,5634,2665,2473,3767,3395,2859,2678,4671,4486,1108,1051,1516,1648,399,427,1763,1839,1521,1664,1250,1340,426,359,61,63
97年,25498,27585,19503,21514,11048,11736,15622,16056,12492,12012,18896,20078,2831,2813,2697,2490,3585,3364,8045,7626,3640,3277,4930,4143,3867,3193,6081,5716,1505,1547,2258,2288,587,577,2730,2924,2262,2361,1739,1842,636,586,86,49,25231,27250,19448,21544,10494,11362,15391,16353,13014,12709,19563,20845,2914,2878,2662,2549,3394,3271,8379,7907,3639,3397,5378,4636,4033,3431,6478,5980,1500,1562,2310,2272,603,587,2559,2663,2249,2448,1636,1903,593,599,81,46,20871,22557,16674,18996,8606,9542,13410,13751,10775,10350,16690,17570,2528,2433,2243,2116,3091,2888,7264,6695,3147,2859,4144,3495,3189,2829,5285,5136,1238,1244,2068,2013,543,545,2250,2386,1840,1956,1364,1453,455,411,75,34,19490,20609,15744,17684,8132,8824,11790,12120,9862,9781,14967,15813,2217,2225,2154,2065,2875,2652,6350,6365,2889,2781,4233,3696,3097,2850,4832,4754,1233,1322,1829,1932,479,488,2086,2197,1753,1858,1353,1487,503,430,56,41
98年,26102,28706,19338,21508,10979,11925,16126,16767,12734,12422,19306,20468,2965,3016,2794,2612,3552,3312,8304,7739,3679,3242,4790,4118,3792,3247,6142,6000,1575,1521,2340,2222,612,608,2740,2834,2363,2427,1698,1708,668,585,97,56,25294,27593,19157,21306,11041,11713,15460,15974,12418,11959,18624,19977,2818,2812,2680,2507,3593,3359,7999,7601,3597,3273,4893,4151,3850,3211,6036,5720,1483,1552,2226,2292,604,594,2710,2899,2237,2366,1725,1819,672,634,82,48,25034,27228,19110,21292,10435,11374,15196,16275,12874,12674,19340,20720,2917,2880,2663,2565,3386,3288,8316,7886,3620,3399,5345,4624,4011,3431,6423,5974,1491,1570,2293,2279,612,601,2530,2658,2227,2416,1625,1892,615,645,81,42,20734,22567,16436,18778,8527,9539,13237,13707,10665,10280,16447,17462,2504,2420,2255,2129,3061,2882,7183,6669,3132,2849,4099,3498,3178,2831,5231,5103,1248,1249,2049,2023,550,553,2244,2380,1815,1965,1340,1446,485,455,75,34
99年,26907,29913,19476,21520,11884,12798,16723,17818,13265,12944,19711,20880,2992,3041,2885,2724,3768,3534,8488,8180,3834,3399,4932,4313,3961,3306,6273,6056,1514,1478,2535,2316,610,590,2840,2869,2507,2563,1739,1806,838,811,105,61,25989,28729,19023,21344,10963,11968,16040,16735,12622,12391,19142,20410,2955,2995,2768,2594,3523,3297,8213,7684,3630,3232,4725,4101,3757,3241,6082,5952,1558,1509,2298,2219,602,612,2723,2800,2319,2403,1668,1697,684,595,98,55,25154,27679,18934,21075,10989,11755,15354,15939,12286,11912,18436,19903,2793,2812,2662,2515,3562,3346,7913,7555,3559,3246,4800,4127,3809,3197,5946,5677,1453,1547,2205,2262,598,580,2684,2869,2214,2355,1700,1811,669,647,81,49,24897,27276,18918,21120,10383,11409,15038,16204,12749,12635,19098,20613,2883,2864,2627,2564,3352,3262,8207,7863,3571,3378,5248,4595,3970,3422,6329,5939,1464,1563,2272,2258,608,600,2507,2634,2194,2406,1605,1877,614,656,75,44
100年,28826,31673,20136,22439,12881,13412,17793,18432,13908,13488,20631,22161,3303,3211,3205,2918,3972,3454,9039,8429,3978,3710,5224,4505,4100,3471,6469,6346,1682,1696,2581,2613,706,594,3045,3079,2514,2607,1856,1914,820,753,98,83,26698,29941,19198,21371,11853,12825,16601,17786,13152,12903,19557,20787,2983,3029,2876,2729,3755,3520,8395,8152,3803,3392,4904,4296,3939,3300,6203,6007,1502,1483,2518,2296,608,591,2810,2844,2472,2566,1711,1788,864,853,104,61,25830,28740,18739,21161,10938,11996,15898,16662,12477,12365,18933,20313,2947,2998,2744,2603,3498,3303,8136,7661,3605,3233,4699,4079,3736,3237,6002,5912,1528,1496,2277,2221,587,613,2694,2781,2298,2398,1652,1672,704,626,95,52,24959,27745,18740,20873,10935,11757,15207,15874,12160,11856,18260,19781,2764,2791,2620,2519,3549,3336,7827,7516,3512,3244,4738,4113,3792,3202,5865,5662,1441,1532,2184,2258,591,579,2650,2845,2214,2349,1663,1792,692,678,75,48
101年,29266,32739,19929,22708,13302,14130,18011,19097,14411,14153,20669,22019,3464,3262,3245,3026,4176,3650,9438,8691,3969,3721,5268,4502,4258,3519,6575,6445,1764,1555,2680,2494,750,624,3013,3099,2484,2714,1853,1931,995,927,116,81,28598,31632,19891,22276,12842,13391,17621,18381,13773,13460,20424,22080,3285,3200,3189,2918,3946,3456,8973,8390,3940,3702,5187,4494,4080,3472,6414,6302,1647,1685,2558,2604,710,604,3017,3063,2488,2610,1837,1889,888,831,106,90,26426,29897,18946,21084,11807,12840,16431,17702,13060,12883,19312,20714,2976,3033,2866,2717,3778,3529,8323,8129,3776,3391,4876,4277,3909,3304,6137,5980,1481,1481,2503,2285,621,590,2774,2846,2442,2551,1683,1778,939,912,116,66,25621,28715,18488,20953,10897,12007,15743,16592,12347,12321,18720,20184,2947,2995,2728,2591,3471,3274,8052,7604,3571,3228,4652,4074,3723,3235,5931,5875,1514,1493,2253,2219,590,625,2672,2773,2251,2387,1633,1659,748,674,104,55
