,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,60歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,12106,12470,9917,11134,5117,5650,7813,8105,7179,7247,10415,10547,1894,1933,1649,1685,2279,2239,5078,4834,2168,2065,3528,3408,2393,2465,3680,3692,1041,1047,1411,1374,359,349,1362,1427,1217,1379,948,1058,280,222,35,28,11264,11919,9547,10753,4828,5579,7607,8218,6513,6806,9936,10165,1983,2044,1669,1572,2413,2265,5097,4948,2324,2267,3462,3353,2472,2548,3856,3682,997,1019,1389,1562,343,370,1355,1490,1198,1382,934,1061,288,240,31,30,11009,11733,9104,10830,4787,5407,7505,7990,7030,7370,10035,10326,1981,1989,1762,1719,2490,2368,5352,4990,2384,2383,3642,3556,2665,2694,3993,3843,980,1015,1356,1349,399,355,1337,1529,1126,1309,975,1065,281,231,39,15,10493,11499,9141,10750,4678,5261,7407,8006,6835,7373,9349,10155,2074,2177,1780,1696,2513,2421,5290,5134,2357,2386,3736,3746,2768,2823,3833,3773,961,1029,1352,1467,371,394,1464,1563,1074,1326,981,1103,291,258,33,19
93年,12075,12189,9673,10746,4973,5684,7578,8187,6750,6973,10287,10543,1797,1765,1569,1511,2194,2051,4847,4559,2102,2007,3206,3146,2401,2333,3711,3613,950,915,1336,1441,362,361,1270,1434,1156,1310,968,1060,320,267,58,8,11953,12413,9709,11056,5069,5656,7719,8061,7083,7188,10240,10470,1885,1905,1654,1688,2271,2217,5009,4790,2145,2050,3493,3386,2356,2454,3627,3675,1034,1038,1385,1364,352,340,1349,1420,1190,1371,945,1048,303,250,38,27,11094,11832,9398,10692,4781,5546,7496,8151,6418,6770,9751,10055,1951,2034,1684,1586,2382,2258,5012,4920,2296,2245,3399,3347,2437,2529,3806,3658,976,1012,1378,1539,331,369,1337,1467,1167,1375,914,1055,318,275,28,30,10849,11596,8964,10789,4776,5392,7384,7933,6897,7305,9861,10205,1958,1969,1783,1745,2459,2331,5255,4958,2335,2370,3578,3532,2621,2680,3926,3807,954,1006,1336,1341,382,352,1308,1508,1117,1291,962,1054,301,247,39,16
94年,10127,10510,8310,9477,4415,4874,6861,7176,5582,5581,8710,9022,1458,1517,1317,1258,1940,1793,3921,3893,1852,1808,2695,2572,1887,1875,2919,2968,754,843,1153,1205,295,334,937,1065,953,1111,768,886,292,258,47,31,11880,12108,9494,10701,4938,5654,7485,8136,6671,6947,10081,10468,1779,1755,1592,1540,2181,2033,4768,4525,2059,1997,3162,3131,2392,2322,3659,3600,933,900,1310,1431,377,360,1246,1421,1142,1292,939,1054,352,298,71,10,11699,12312,9567,10959,4997,5617,7601,8021,6981,7134,10034,10345,1864,1892,1701,1730,2234,2183,4942,4762,2110,2033,3428,3363,2330,2456,3585,3648,1020,1028,1366,1355,362,342,1327,1406,1170,1378,927,1036,357,297,44,27,10850,11718,9262,10697,4735,5520,7392,8074,6336,6717,9568,9921,1936,2009,1751,1634,2349,2222,4939,4899,2263,2232,3345,3323,2402,2502,3725,3639,952,997,1350,1527,337,370,1306,1451,1135,1368,904,1040,355,298,32,30
95年,11486,12076,9880,10746,4978,5577,7467,8073,5990,6035,9181,9646,1577,1480,1486,1402,1950,1824,4261,4183,1982,1956,3194,3081,1959,1865,3171,3116,822,888,1250,1336,413,414,1075,1163,1204,1213,880,941,285,284,53,38,9988,10415,8275,9551,4367,4889,6789,7149,5505,5559,8585,8931,1458,1502,1325,1265,1913,1782,3857,3879,1833,1789,2664,2548,1861,1865,2868,2927,751,831,1119,1196,290,332,916,1052,931,1114,757,887,330,289,40,28,11641,11973,9448,10734,4900,5631,7398,8088,6574,6906,9915,10380,1752,1746,1617,1574,2155,2024,4697,4498,2031,1982,3123,3107,2355,2320,3608,3558,918,898,1283,1414,377,358,1231,1409,1124,1296,933,1051,414,330,64,10,11486,12167,9581,11048,4920,5596,7483,7980,6886,7052,9884,10252,1839,1879,1698,1760,2208,2162,4866,4730,2091,2020,3387,3339,2297,2437,3533,3604,991,1013,1341,1349,353,330,1297,1382,1161,1362,914,1043,404,319,41,27
96年,14486,15332,12399,13732,5949,6528,9075,9370,7362,7649,11556,12013,1665,1737,1623,1640,2297,2274,5493,5045,2144,2180,3397,3201,2382,2320,3982,3950,1044,1157,1533,1553,335,388,1574,1636,1401,1493,1081,1182,394,327,66,42,11353,11983,9772,10756,4943,5555,7369,8032,5894,5998,9034,9565,1565,1477,1490,1413,1928,1809,4204,4154,1967,1939,3158,3083,1938,1866,3131,3102,805,872,1236,1348,412,417,1071,1150,1189,1212,873,938,322,306,49,38,9875,10387,8171,9482,4319,4864,6716,7077,5410,5511,8443,8865,1431,1496,1321,1287,1882,1781,3804,3857,1811,1788,2632,2538,1837,1854,2835,2905,730,823,1090,1186,285,336,906,1048,917,1111,746,871,358,305,40,27,11467,11871,9319,10759,4866,5597,7292,8015,6475,6833,9763,10295,1739,1733,1627,1600,2120,2009,4623,4470,2002,1967,3070,3076,2319,2307,3551,3504,901,880,1257,1403,382,359,1203,1409,1126,1288,914,1038,444,339,61,10
97年,16382,17503,13668,15035,6795,7563,10388,10660,8938,9034,13523,14437,1874,1927,1780,1698,2408,2354,5928,5593,2642,2460,3726,3400,2841,2678,4608,4446,1095,1036,1489,1639,411,421,1745,1830,1502,1652,1215,1329,443,368,56,60,14358,15285,12225,13689,5932,6512,8954,9332,7307,7604,11402,11933,1653,1730,1609,1653,2286,2260,5421,5029,2128,2186,3350,3177,2365,2312,3917,3923,1028,1155,1515,1535,331,388,1569,1617,1376,1498,1068,1167,388,340,60,41,11245,11940,9665,10733,4889,5567,7263,7969,5801,5962,8887,9486,1558,1463,1482,1433,1915,1799,4163,4144,1956,1922,3120,3055,1906,1863,3096,3067,788,862,1206,1325,413,418,1064,1133,1173,1220,867,930,323,316,47,39,9727,10299,8118,9499,4288,4869,6600,7009,5338,5460,8300,8813,1418,1480,1327,1298,1854,1771,3750,3820,1784,1783,2576,2524,1824,1846,2773,2878,712,804,1071,1158,282,338,892,1039,917,1111,737,865,361,305,38,25
98年,19305,20601,15546,17520,8093,8841,11614,12043,9757,9732,14706,15690,2199,2210,2144,2082,2848,2656,6282,6343,2841,2774,4186,3687,3081,2849,4791,4724,1232,1319,1804,1930,494,503,2069,2185,1724,1856,1326,1474,515,460,58,42,16260,17528,13439,14858,6765,7550,10288,10591,8837,8976,13353,14351,1863,1922,1785,1716,2385,2349,5853,5567,2626,2456,3668,3392,2820,2680,4540,4426,1077,1031,1470,1627,410,428,1732,1814,1487,1642,1194,1310,455,397,60,60,14195,15289,12064,13571,5920,6460,8837,9261,7239,7564,11250,11838,1625,1721,1612,1663,2273,2230,5329,4988,2114,2178,3300,3151,2339,2299,3851,3889,1006,1160,1487,1526,338,387,1531,1605,1354,1503,1054,1165,402,360,59,44,11141,11906,9540,10674,4873,5561,7151,7883,5712,5917,8740,9449,1529,1451,1498,1455,1894,1786,4124,4106,1924,1917,3047,3035,1888,1849,3032,3044,777,851,1191,1310,418,422,1047,1122,1148,1215,856,913,337,329,47,38
99年,20668,22611,16170,18633,8523,9554,13089,13634,10538,10209,16268,17385,2466,2393,2239,2137,3031,2871,7089,6615,3098,2830,4042,3478,3151,2816,5152,5053,1248,1242,2014,2017,549,555,2212,2347,1782,1949,1322,1431,488,472,72,32,19200,20648,15315,17420,8056,8859,11494,11992,9632,9657,14526,15618,2175,2207,2132,2054,2799,2641,6186,6287,2803,2747,4120,3644,3033,2846,4700,4671,1214,1308,1783,1905,485,499,2037,2158,1707,1844,1289,1455,521,471,54,42,16180,17565,13265,14718,6716,7540,10167,10528,8734,8931,13171,14248,1839,1905,1770,1714,2359,2345,5761,5545,2583,2459,3604,3366,2781,2660,4460,4353,1044,1019,1442,1611,417,420,1703,1787,1464,1637,1166,1296,457,399,58,57,14135,15352,11943,13518,5907,6444,8721,9204,7141,7493,11110,11777,1617,1707,1602,1654,2257,2212,5237,4942,2081,2158,3217,3134,2316,2276,3772,3850,996,1150,1454,1494,332,382,1499,1589,1328,1482,1034,1150,401,366,51,43
100年,24738,27318,18653,20950,10374,11405,14896,16136,12591,12569,18871,20488,2865,2849,2590,2573,3325,3249,8115,7817,3532,3373,5178,4587,3943,3419,6261,5891,1444,1557,2245,2249,600,597,2492,2626,2145,2401,1586,1867,632,674,76,43,20532,22719,15979,18432,8447,9565,12911,13551,10404,10153,16034,17294,2429,2384,2214,2132,3011,2855,7001,6555,3070,2812,4003,3466,3110,2799,5089,5011,1235,1230,1983,1994,539,556,2188,2323,1769,1938,1288,1430,512,495,69,34,19081,20660,15101,17310,8013,8854,11340,11906,9525,9594,14327,15521,2160,2185,2124,2063,2783,2627,6120,6246,2770,2732,4061,3636,2993,2825,4622,4633,1178,1298,1752,1892,485,499,2019,2141,1690,1837,1276,1437,538,486,52,42,16031,17583,13133,14694,6654,7511,10003,10457,8634,8863,12986,14137,1822,1885,1765,1715,2335,2332,5685,5509,2556,2441,3551,3342,2742,2632,4403,4324,1034,1008,1433,1609,410,418,1692,1760,1440,1631,1149,1287,467,410,55,56
