,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,96歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,98,96,139,195,43,60,47,75,47,59,51,71,10,23,20,29,15,40,35,55,23,22,21,51,17,36,23,23,13,5,27,24,1,4,14,21,17,13,5,12,4,8,0,0,67,101,102,113,27,56,27,53,33,39,29,36,8,15,10,22,17,27,20,34,14,15,12,27,8,19,17,19,7,5,17,14,1,4,5,14,9,14,2,5,4,13,0,3,47,72,90,85,17,31,24,33,18,31,22,29,5,11,4,21,12,20,6,34,0,5,4,17,6,12,15,11,4,4,13,8,2,3,4,5,5,7,4,2,2,11,0,0,33,43,54,71,13,13,14,19,8,14,19,17,2,9,9,2,5,13,7,9,6,5,4,9,4,10,7,3,6,4,6,6,4,4,5,13,13,9,3,4,1,7,1,1
93年,91,130,155,144,32,61,41,82,37,73,48,65,15,28,21,34,21,34,31,69,10,29,10,50,17,35,19,21,6,14,16,11,6,7,16,17,17,19,4,8,12,22,0,1,81,72,117,143,34,46,39,61,36,47,41,56,8,20,15,23,10,31,25,44,20,16,17,36,13,23,20,19,9,3,20,20,1,4,13,13,17,13,5,8,3,7,0,0,55,75,84,95,24,40,24,41,23,32,24,22,5,9,5,13,10,15,15,25,12,13,10,18,3,13,13,14,3,4,16,10,1,2,5,13,8,11,2,5,3,10,0,3,36,54,79,66,11,24,19,21,16,22,18,27,4,9,3,13,11,14,5,23,0,5,3,12,3,10,14,6,3,3,13,5,1,2,3,4,5,6,3,1,2,8,0,0
94年,130,138,182,178,52,69,53,83,37,103,59,81,13,35,16,30,19,42,30,95,22,35,15,47,20,31,28,30,9,11,12,21,4,12,20,21,12,14,3,8,3,15,2,0,77,113,119,114,23,49,29,62,22,56,39,47,11,18,19,23,14,20,26,53,6,18,8,36,13,30,12,15,6,11,11,11,6,4,13,12,14,17,3,7,11,16,0,0,70,59,94,112,29,34,29,48,25,33,32,37,6,11,11,15,9,22,20,31,14,14,12,24,10,17,13,12,7,2,19,16,1,1,10,6,13,8,4,7,3,6,0,0,49,54,73,77,14,27,18,30,12,24,19,21,4,7,4,9,6,11,12,18,7,11,6,11,2,11,10,8,2,4,12,7,1,2,4,8,8,10,2,4,1,8,0,3
95年,126,157,193,202,64,74,51,96,55,105,67,75,19,45,17,35,24,39,32,95,14,43,15,54,19,37,29,39,14,16,21,26,3,14,13,27,15,28,3,15,9,10,2,2,108,107,155,145,41,54,39,67,25,79,47,55,11,28,13,19,15,34,27,73,14,23,12,38,14,27,21,21,7,8,11,17,2,10,16,17,11,13,2,6,3,13,1,0,64,98,103,93,15,44,24,52,15,40,31,36,7,13,15,21,10,15,20,42,3,15,7,26,9,23,12,12,6,5,11,7,1,4,12,11,13,14,2,5,10,15,0,0,60,49,75,91,22,28,27,34,17,22,25,30,5,11,6,14,7,17,17,19,12,11,11,18,8,12,11,12,5,2,18,12,1,1,10,5,9,5,1,6,2,4,0,0
96年,133,172,180,211,78,93,64,115,54,138,67,97,20,27,26,51,29,51,42,94,20,39,25,70,20,51,22,42,19,10,28,28,3,6,20,29,25,19,11,14,4,11,1,1,110,128,159,158,48,64,42,76,41,82,57,55,14,32,14,31,18,31,28,73,12,35,10,39,16,22,18,27,11,13,17,21,2,11,8,21,14,21,3,12,6,7,2,2,91,82,119,109,35,36,31,53,19,54,41,43,9,23,7,13,11,20,23,53,13,14,12,23,12,21,12,12,6,6,8,16,1,7,13,14,8,9,2,5,3,10,1,0,59,79,74,68,10,36,20,40,12,28,24,25,5,7,13,14,8,13,12,30,2,9,5,19,9,17,3,6,5,5,8,6,0,3,9,8,13,12,1,3,9,12,0,0
97年,246,203,384,303,96,87,95,133,66,136,107,139,29,28,31,46,25,58,64,101,21,28,29,61,36,60,44,40,22,15,33,31,10,9,31,25,34,19,12,15,12,35,0,1,107,139,144,159,47,66,50,84,34,104,41,70,14,21,17,33,18,39,34,66,14,27,15,51,18,33,15,29,15,5,16,20,2,4,15,23,22,14,9,11,3,8,1,1,91,102,127,111,33,41,29,51,23,49,31,33,11,25,10,22,16,23,22,52,5,23,7,29,11,18,12,17,8,9,12,15,2,4,6,17,9,18,3,7,6,6,2,2,74,66,92,71,24,28,17,43,14,38,24,33,4,17,7,9,9,16,19,34,12,12,9,20,10,16,8,6,3,4,3,13,0,5,11,11,5,5,1,4,1,7,1,0
98年,180,226,298,300,70,97,86,153,66,144,113,143,28,40,19,45,35,54,51,106,31,44,28,63,23,46,33,50,19,14,35,30,5,16,19,38,31,37,6,12,8,19,1,1,208,157,317,242,76,60,65,103,53,108,85,108,23,22,20,33,16,44,39,73,18,21,16,44,25,40,34,29,14,12,28,23,8,6,27,23,25,13,10,14,11,31,0,1,93,113,106,122,41,52,38,62,27,75,35,57,11,17,9,25,8,24,21,46,12,18,12,35,10,25,12,17,12,4,12,16,2,3,13,14,19,12,8,9,3,6,0,1,71,76,99,77,26,34,23,36,18,36,24,24,7,16,9,17,11,15,10,39,3,19,4,20,6,13,9,13,5,7,11,11,2,4,4,12,7,13,3,3,5,4,1,2
99年,234,248,304,346,91,111,86,137,80,151,104,139,30,35,37,51,47,62,44,128,33,55,27,71,32,59,31,47,21,12,36,27,7,8,30,29,37,22,11,17,5,16,0,1,153,177,240,225,52,80,64,120,52,109,92,99,22,30,14,36,28,42,32,79,20,32,21,47,18,33,22,40,13,11,29,21,4,13,13,30,24,33,6,9,6,14,1,1,170,117,267,191,59,50,50,79,42,79,67,81,18,16,17,20,11,31,29,50,11,12,9,39,20,30,29,20,8,9,25,18,6,5,22,20,20,11,6,11,10,26,0,1,74,83,82,87,31,39,27,51,20,45,25,41,8,13,6,19,6,15,13,32,9,13,8,24,8,18,10,8,11,2,8,15,1,1,12,12,8,8,6,7,3,4,0,1
100年,193,241,310,315,97,139,105,175,89,154,111,144,16,44,24,43,38,74,39,109,22,42,31,67,25,68,39,59,19,17,33,25,10,7,33,23,30,30,12,18,10,16,2,2,185,197,250,270,68,81,71,105,54,109,75,105,22,25,29,37,37,48,36,100,22,37,15,55,22,41,22,34,11,9,31,19,6,7,18,22,30,17,7,12,6,15,0,1,118,134,187,174,39,60,44,84,41,70,70,73,18,19,8,30,17,29,20,62,18,21,13,35,15,24,20,29,11,9,24,14,2,8,7,23,19,24,5,7,7,12,1,1,128,98,217,132,45,37,33,59,33,60,54,59,13,11,13,13,8,21,20,36,6,8,5,30,14,22,21,12,7,8,23,12,4,4,17,14,15,11,8,8,8,20,0,1
