,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,12歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,27640,25206,18041,15927,15202,13820,20757,18872,13337,12255,19503,17757,3464,3200,3687,3296,4163,3782,9691,8731,3862,3487,4669,4310,3407,3111,6177,5707,1645,1481,2431,2351,564,514,3050,2741,3035,2761,2184,1994,354,322,74,33,29587,26761,18894,16853,15847,14457,21522,20015,13990,13081,20522,18648,3646,3223,3783,3394,4334,4005,10490,9204,3992,3615,5032,4390,3585,3200,6325,6026,1639,1497,2495,2367,595,510,3125,2840,3179,2807,2307,2179,390,371,53,58,27278,25335,17325,15610,14319,13119,19838,18289,13169,12168,18584,17479,3351,3142,3407,3116,4100,3824,9828,8800,3817,3411,4599,4158,3296,3085,5877,5742,1608,1406,2333,2222,509,542,2827,2529,2851,2595,2004,1888,417,375,47,46,29861,28016,18628,17315,15301,14078,21566,19904,14748,13652,21215,19484,3697,3326,3519,3329,4406,4048,10797,9643,4142,3828,4938,4690,3746,3495,6763,6295,1676,1563,2482,2331,631,630,3061,2860,2983,2783,2150,1986,491,469,68,51
93年,27720,25258,17994,16253,15663,13986,20991,19284,13084,12057,19223,17648,3539,3144,3755,3332,4124,3846,9862,8863,3855,3564,4753,4396,3262,3055,6199,5699,1676,1544,2523,2321,566,562,2974,2722,3063,2758,2227,2061,381,377,52,47,27858,25353,17689,15724,15298,13847,20778,18906,13338,12273,19491,17744,3463,3175,3732,3324,4137,3763,9659,8724,3866,3473,4678,4291,3432,3137,6196,5673,1640,1472,2442,2352,565,511,3016,2731,2981,2736,2138,1974,365,332,74,35,29735,26920,18653,16606,15850,14511,21504,19999,13972,13080,20516,18662,3650,3231,3811,3427,4335,4014,10480,9254,3995,3619,4999,4315,3622,3222,6354,6013,1630,1473,2503,2370,591,516,3094,2813,3152,2782,2254,2126,402,371,56,57,27420,25443,17014,15417,14387,13181,19817,18254,13148,12139,18595,17452,3355,3148,3415,3141,4104,3825,9827,8824,3810,3420,4582,4103,3355,3147,5864,5737,1614,1401,2320,2223,510,537,2815,2519,2833,2576,1940,1834,424,385,50,47
94年,28120,25607,18128,16485,15735,14499,21258,19883,13359,12784,19733,18356,3514,3427,3832,3487,4184,3816,9773,8913,3858,3600,4661,4495,3409,3075,6314,5826,1617,1529,2605,2368,587,529,2930,2805,3014,2986,2327,2183,372,359,45,58,27928,25504,17686,15969,15747,14073,21011,19291,13070,12019,19222,17689,3517,3128,3800,3372,4111,3814,9889,8847,3880,3570,4691,4369,3309,3085,6207,5680,1653,1541,2515,2321,561,567,2955,2684,3031,2730,2183,2043,382,378,52,49,28028,25538,17434,15451,15345,13913,20743,18902,13309,12241,19511,17740,3467,3186,3763,3359,4149,3760,9688,8762,3879,3495,4576,4205,3487,3192,6207,5689,1658,1461,2443,2340,562,514,2994,2700,2948,2722,2114,1934,374,341,72,38,30013,27107,18269,16328,15898,14586,21446,19938,13948,13040,20524,18659,3646,3227,3831,3463,4352,4028,10494,9274,3987,3637,4986,4290,3751,3301,6347,6020,1643,1481,2484,2357,603,514,3072,2808,3114,2759,2163,2061,426,388,64,64
95年,26967,25144,17985,16480,16263,14596,21242,19530,13071,12178,19525,17846,3382,3214,3864,3674,4173,3701,9460,8583,3866,3588,4810,4478,3260,3083,6432,5949,1689,1453,2475,2363,565,506,2880,2785,3056,2841,2379,2174,410,375,39,47,28379,25809,17703,16238,15835,14577,21243,19871,13354,12810,19746,18333,3508,3420,3861,3524,4197,3810,9756,8896,3877,3580,4679,4495,3440,3140,6289,5827,1595,1510,2613,2351,587,526,2919,2773,2985,2958,2279,2103,379,375,43,56,28182,25695,17319,15740,15830,14154,20993,19257,13055,12001,19228,17697,3526,3139,3823,3400,4126,3842,9890,8898,3858,3575,4658,4301,3374,3138,6191,5708,1659,1516,2509,2304,569,568,2905,2640,2990,2703,2133,2008,407,394,52,49,28293,25809,17062,15174,15380,13957,20662,18866,13347,12224,19494,17751,3456,3169,3787,3388,4174,3780,9708,8802,3903,3508,4538,4140,3577,3249,6221,5670,1655,1451,2424,2329,562,520,2946,2681,2916,2709,2041,1874,406,353,79,39
96年,26823,25146,18599,16961,16164,15086,21344,19700,13210,12255,19499,17989,3448,3242,3788,3551,4041,3681,9433,8631,3714,3503,4880,4578,3258,2999,6419,5906,1604,1490,2436,2388,557,538,2932,2746,3162,3037,2429,2335,402,370,48,47,27092,25288,17764,16294,16301,14665,21263,19536,13057,12166,19526,17838,3390,3230,3890,3683,4163,3694,9443,8586,3899,3592,4779,4461,3307,3095,6429,5960,1659,1444,2478,2353,561,500,2831,2738,3055,2820,2313,2143,424,388,39,48,28512,25996,17405,16023,15851,14580,21215,19840,13351,12769,19722,18358,3524,3420,3892,3532,4214,3826,9780,8930,3894,3613,4645,4424,3513,3173,6305,5814,1593,1512,2591,2350,594,529,2904,2752,2960,2949,2231,2067,389,382,46,60,28413,25766,17065,15532,15841,14170,20889,19220,13049,11997,19191,17713,3531,3145,3865,3445,4131,3854,9917,8911,3870,3574,4629,4282,3424,3221,6216,5706,1645,1514,2491,2314,576,574,2864,2648,2969,2680,2094,1940,421,411,56,52
97年,26466,24703,17518,16437,16424,14868,21664,20219,13034,11982,19301,17800,3563,3077,3999,3556,3984,3808,9733,8706,3687,3542,4906,4447,3391,3057,6491,5821,1585,1519,2497,2303,540,478,2931,2615,3213,2970,2357,2296,424,376,55,42,27147,25443,18172,16619,16209,15132,21300,19692,13214,12231,19468,18004,3459,3268,3816,3574,4036,3668,9471,8651,3708,3516,4894,4559,3350,3085,6381,5902,1621,1464,2400,2384,562,538,2895,2676,3128,3016,2343,2248,431,379,49,49,27334,25528,17430,16013,16344,14680,21196,19497,13026,12160,19573,17880,3385,3228,3905,3678,4171,3707,9481,8637,3894,3584,4738,4369,3394,3213,6421,5951,1653,1437,2471,2352,570,507,2803,2712,3029,2812,2250,2064,447,400,43,49,28704,26262,17051,15733,15909,14610,21162,19747,13333,12728,19717,18377,3526,3417,3925,3560,4248,3860,9832,8979,3895,3632,4651,4368,3598,3304,6282,5825,1575,1505,2608,2338,608,538,2874,2730,2925,2937,2165,1966,418,408,52,62
98年,26474,24613,17938,16496,16381,15245,21925,19941,13323,12000,19160,17835,3501,3186,4004,3561,4006,3629,9586,8782,3704,3510,4993,4544,3449,3105,6298,5695,1609,1512,2427,2295,596,566,2772,2546,3311,3060,2422,2338,451,415,54,53,26745,24954,17142,16145,16456,14854,21677,20223,12984,11967,19302,17827,3565,3086,4038,3593,4001,3810,9731,8684,3685,3534,4924,4458,3457,3101,6490,5810,1597,1530,2498,2301,551,487,2886,2572,3172,2948,2297,2221,475,451,55,44,27329,25610,17835,16404,16255,15126,21248,19675,13167,12200,19504,18000,3467,3263,3838,3591,4052,3697,9492,8700,3704,3516,4844,4486,3425,3165,6394,5912,1626,1477,2426,2377,579,561,2868,2662,3092,2970,2306,2173,490,449,48,48,27574,25741,17096,15693,16309,14698,21062,19405,12985,12164,19587,17878,3394,3251,3956,3717,4209,3724,9491,8677,3928,3606,4746,4339,3460,3296,6419,5972,1665,1447,2474,2349,590,521,2785,2684,2974,2761,2198,2005,541,496,68,54
99年,21923,20601,14911,13595,13939,12693,17691,16324,10728,9627,15772,14707,2781,2677,3354,3045,3220,2901,8076,7473,3147,2875,4277,3925,2952,2643,5090,4746,1347,1310,2074,1810,483,454,2268,2149,2716,2498,2017,1869,348,327,44,39,26703,24750,17604,16289,16461,15296,21894,19942,13314,11978,19171,17845,3525,3193,4051,3587,3971,3612,9592,8765,3700,3490,5027,4574,3514,3171,6291,5678,1601,1529,2422,2300,605,587,2730,2503,3268,3028,2343,2262,482,446,54,53,26913,25139,16899,15867,16507,14921,21633,20191,12971,11924,19339,17871,3579,3074,4021,3609,4010,3827,9731,8716,3658,3534,4946,4433,3513,3171,6464,5807,1602,1519,2488,2295,561,495,2873,2542,3163,2925,2222,2157,504,467,56,45,27487,25750,17581,16170,16301,15220,21162,19589,13159,12169,19505,18043,3480,3255,3863,3620,4056,3719,9511,8722,3693,3521,4895,4490,3519,3261,6400,5905,1620,1476,2415,2383,593,579,2837,2656,3041,2912,2218,2092,539,480,63,54
100年,23056,21420,15973,14519,14754,13484,19247,17645,11304,10346,16696,15474,2920,2582,3595,3259,3513,3169,8617,7834,3294,2936,4517,4092,2842,2605,5236,4695,1435,1299,2110,1920,493,464,2356,2208,3002,2707,2254,2049,421,364,56,48,21996,20721,14819,13444,13915,12703,17695,16323,10738,9636,15759,14744,2793,2675,3375,3069,3196,2896,8087,7462,3147,2856,4290,3946,2989,2672,5067,4721,1349,1295,2076,1805,493,451,2254,2109,2695,2474,1967,1820,360,362,44,41,26869,24940,17351,16114,16460,15263,21861,19910,13308,12006,19172,17836,3523,3196,4075,3633,3990,3608,9616,8785,3694,3478,5039,4540,3552,3229,6279,5644,1601,1534,2421,2283,619,588,2716,2477,3250,3001,2291,2200,510,469,54,54,27086,25286,16636,15635,16460,14921,21579,20146,12950,11911,19355,17919,3575,3079,4078,3660,4022,3863,9736,8762,3663,3544,4965,4381,3567,3235,6465,5788,1589,1524,2496,2290,577,501,2862,2528,3118,2879,2172,2094,542,514,69,55
