,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,64歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　　　,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女,新北市 / 男,新北市 / 女,臺北市 / 男,臺北市 / 女,桃園市 / 男,桃園市 / 女,臺中市 / 男,臺中市 / 女,臺南市 / 男,臺南市 / 女,高雄市 / 男,高雄市 / 女,宜蘭縣 / 男,宜蘭縣 / 女,新竹縣 / 男,新竹縣 / 女,苗栗縣 / 男,苗栗縣 / 女,彰化縣 / 男,彰化縣 / 女,南投縣 / 男,南投縣 / 女,雲林縣 / 男,雲林縣 / 女,嘉義縣 / 男,嘉義縣 / 女,屏東縣 / 男,屏東縣 / 女,臺東縣 / 男,臺東縣 / 女,花蓮縣 / 男,花蓮縣 / 女,澎湖縣 / 男,澎湖縣 / 女,基隆市 / 男,基隆市 / 女,新竹市 / 男,新竹市 / 女,嘉義市 / 男,嘉義市 / 女,金門縣 / 男,金門縣 / 女,連江縣 / 男,連江縣 / 女
92年,9329,10614,8518,10276,4194,4985,7037,7760,6336,7019,8712,9620,1973,1941,1735,1730,2541,2311,5214,5195,2411,2395,3646,3702,2612,2746,3687,3655,908,1012,1270,1367,394,407,1267,1569,1018,1237,890,1050,312,232,37,16,8434,9460,7623,9589,4021,4718,6271,6972,6215,6698,8164,9103,1873,1898,1662,1670,2282,2215,4754,4735,2282,2110,3492,3518,2662,2734,3683,3508,871,967,1205,1297,359,350,1169,1377,920,1170,892,1001,367,257,38,21,8171,9133,7554,9232,3798,4498,6270,6887,6101,6758,7695,8715,1842,1910,1711,1640,2438,2339,4751,4869,2193,2255,3309,3584,2531,2660,3525,3405,911,968,1224,1294,406,369,1134,1395,961,1150,807,1014,370,248,36,29,7388,8520,7112,8749,3591,4095,5730,6303,5921,6565,7261,7798,1778,1796,1584,1515,2051,1941,4600,4913,2042,2083,3182,3287,2500,2632,3320,3390,837,856,1089,1200,436,402,1101,1256,912,996,780,920,326,224,26,26
93年,10238,11289,9035,10805,4608,5202,7282,7922,6718,7288,9173,10053,2047,2142,1835,1745,2488,2375,5210,5078,2327,2364,3686,3714,2721,2803,3754,3733,944,1009,1315,1455,365,386,1430,1527,1052,1327,957,1092,313,268,33,20,9132,10439,8422,10299,4136,4943,6911,7679,6210,6947,8562,9533,1947,1919,1740,1748,2500,2269,5112,5153,2370,2377,3566,3659,2577,2727,3606,3608,886,996,1233,1346,388,404,1241,1553,999,1232,869,1037,319,238,38,15,8185,9324,7574,9583,3957,4691,6147,6900,6100,6596,7992,9026,1840,1883,1658,1661,2253,2172,4657,4690,2220,2089,3400,3469,2611,2714,3609,3425,849,956,1186,1271,350,343,1130,1347,918,1161,886,981,375,262,36,24,7979,9001,7451,9185,3740,4446,6160,6822,5973,6663,7542,8595,1804,1883,1692,1636,2388,2309,4642,4822,2134,2237,3230,3523,2456,2624,3412,3349,889,954,1181,1271,394,363,1108,1367,936,1145,781,1003,372,252,39,29
94年,10541,11359,8884,10853,4681,5311,7264,7849,6779,7228,9646,10113,1930,1953,1894,1865,2404,2287,5156,4912,2317,2337,3507,3503,2582,2653,3842,3756,939,986,1294,1322,390,349,1293,1483,1086,1292,946,1034,331,277,44,18,9945,11084,8966,10847,4524,5164,7142,7850,6609,7198,9005,9912,2004,2113,1903,1831,2432,2331,5117,5035,2267,2348,3601,3684,2681,2796,3671,3695,926,981,1289,1413,360,384,1401,1513,1018,1326,924,1078,325,273,36,24,8914,10319,8338,10251,4071,4908,6797,7603,6078,6878,8377,9415,1907,1895,1775,1761,2434,2247,5014,5097,2327,2345,3507,3598,2541,2701,3513,3562,856,977,1203,1308,382,403,1214,1537,981,1228,839,1012,331,247,41,16,7968,9180,7476,9520,3877,4682,6011,6816,5979,6496,7815,8912,1791,1859,1684,1675,2181,2131,4557,4643,2176,2046,3306,3416,2553,2678,3506,3374,827,948,1149,1249,341,341,1110,1327,894,1150,852,969,389,272,36,25
95年,10572,11445,9308,10882,4649,5494,7263,8005,6227,6661,9429,9876,1917,1987,1797,1677,2299,2199,4838,4853,2237,2224,3284,3293,2365,2465,3652,3601,928,977,1322,1514,328,366,1284,1438,1126,1362,880,1033,388,311,29,30,10280,11184,8885,10987,4628,5289,7134,7771,6684,7171,9488,10005,1889,1941,1899,1868,2363,2266,5058,4860,2277,2309,3439,3479,2540,2638,3771,3721,897,975,1256,1307,373,344,1269,1474,1066,1283,927,1007,347,287,44,15,9726,10938,8945,10896,4476,5155,7007,7770,6471,7096,8839,9821,1974,2093,1892,1812,2397,2319,5025,4994,2224,2333,3521,3638,2633,2765,3585,3651,900,975,1261,1388,351,381,1367,1489,996,1313,899,1057,332,292,31,18,8710,10171,8302,10245,4044,4896,6661,7531,5974,6804,8203,9325,1861,1874,1741,1741,2392,2221,4907,5045,2270,2318,3434,3545,2497,2677,3424,3485,838,965,1172,1285,372,395,1192,1526,966,1219,815,1005,343,260,37,16
96年,11219,12046,9510,11129,4830,5550,7346,7900,6780,6978,9705,10160,1809,1867,1750,1791,2171,2139,4768,4673,2050,2003,3339,3329,2291,2411,3462,3538,961,982,1316,1333,351,328,1280,1369,1153,1364,893,1030,422,331,39,23,10396,11327,9241,10878,4595,5459,7124,7944,6129,6588,9240,9793,1888,1968,1800,1678,2259,2173,4757,4806,2204,2201,3219,3256,2344,2458,3571,3546,902,970,1282,1493,329,360,1280,1437,1100,1356,852,1022,388,311,28,28,10069,11080,8794,10955,4570,5258,7025,7695,6555,7076,9311,9914,1854,1925,1891,1851,2322,2230,4970,4817,2221,2290,3381,3429,2494,2614,3685,3666,876,959,1231,1290,372,343,1235,1447,1052,1283,903,990,361,288,44,15,9506,10826,8840,10818,4425,5118,6839,7662,6331,7013,8630,9724,1932,2080,1865,1786,2357,2296,4929,4932,2187,2298,3444,3604,2579,2734,3502,3605,874,968,1245,1366,347,379,1338,1484,980,1297,878,1045,336,292,31,15
97年,11274,11762,9334,10874,4816,5546,7149,7954,6357,6771,9631,10230,1689,1717,1651,1607,2090,1990,4547,4420,1960,1943,3011,3057,2279,2311,3470,3462,895,870,1219,1370,367,351,1175,1391,1114,1295,898,1013,435,343,55,9,11047,11921,9505,11214,4776,5542,7208,7793,6678,6909,9555,10091,1786,1850,1743,1777,2130,2110,4679,4634,2010,1985,3273,3297,2230,2395,3388,3489,938,972,1290,1316,336,322,1258,1359,1132,1350,877,1007,399,321,34,23,10212,11249,9225,10857,4515,5414,7023,7862,6000,6523,9061,9730,1849,1955,1756,1667,2228,2149,4660,4777,2158,2173,3151,3228,2307,2435,3494,3497,882,956,1263,1466,322,357,1255,1421,1091,1341,836,1009,380,309,25,29,9901,10968,8711,10884,4482,5252,6889,7602,6399,6989,9137,9840,1813,1897,1861,1843,2291,2210,4874,4755,2168,2273,3285,3398,2453,2598,3597,3605,851,948,1199,1276,361,336,1221,1432,1030,1263,883,971,344,287,37,15
98年,9678,10303,8083,9510,4206,4826,6508,6955,5224,5384,8142,8744,1381,1468,1356,1321,1834,1757,3685,3775,1740,1770,2538,2500,1795,1842,2716,2835,696,795,1059,1143,287,339,877,1023,887,1108,714,857,370,322,34,23,11288,11852,9233,10802,4745,5526,7032,7872,6231,6698,9517,10156,1649,1686,1653,1619,2058,1967,4445,4375,1939,1928,2938,3006,2230,2292,3391,3406,869,859,1196,1356,363,355,1159,1379,1083,1293,877,1002,422,343,49,8,10963,11893,9354,11079,4697,5511,7108,7718,6543,6842,9404,10009,1760,1829,1729,1766,2075,2089,4605,4583,1970,1963,3212,3265,2187,2371,3325,3451,914,958,1244,1298,336,321,1244,1345,1108,1332,858,996,390,330,32,21,10153,11244,9070,10713,4446,5401,6888,7789,5860,6427,8887,9595,1813,1932,1739,1663,2184,2119,4551,4732,2100,2147,3076,3185,2259,2413,3429,3453,861,936,1245,1442,325,360,1231,1394,1068,1333,813,1010,372,319,24,28
99年,11059,11950,9528,10663,4818,5528,7031,7855,5625,5845,8650,9385,1506,1431,1479,1439,1865,1773,4031,4064,1876,1909,2985,3013,1833,1835,2960,3004,758,836,1173,1300,411,417,1041,1085,1129,1215,839,906,333,333,46,38,9683,10389,8055,9494,4159,4813,6402,6909,5110,5343,8039,8703,1350,1450,1323,1294,1793,1739,3594,3735,1695,1742,2483,2468,1751,1833,2666,2792,681,780,1022,1133,281,334,851,1012,869,1093,700,838,359,320,31,22,11239,11881,9106,10688,4715,5537,6918,7833,6096,6619,9378,10107,1609,1667,1586,1573,2019,1948,4376,4331,1917,1906,2870,2972,2176,2276,3279,3341,847,844,1165,1330,352,349,1141,1359,1064,1272,857,978,413,344,43,6,10879,11892,9188,10954,4678,5498,6966,7642,6394,6782,9254,9935,1716,1810,1652,1710,2034,2076,4529,4546,1935,1937,3110,3218,2148,2339,3232,3394,890,944,1219,1281,328,315,1207,1324,1084,1322,841,984,389,323,30,21
100年,14041,15353,11848,13576,5858,6417,8585,9142,7038,7440,10981,11677,1593,1697,1567,1653,2216,2185,5150,4894,2046,2133,3139,3116,2267,2269,3705,3802,977,1130,1428,1465,313,374,1481,1577,1321,1472,1017,1137,414,383,50,41,11018,11992,9470,10660,4756,5522,6894,7784,5508,5791,8550,9356,1482,1409,1438,1416,1839,1763,3944,4028,1845,1876,2904,2994,1808,1815,2880,2962,734,823,1150,1280,395,405,1013,1081,1105,1199,801,894,322,339,45,37,9583,10413,7964,9397,4109,4795,6299,6837,4989,5285,7920,8651,1328,1434,1292,1272,1768,1723,3528,3701,1670,1734,2430,2445,1715,1812,2603,2758,660,772,988,1120,275,329,836,1002,852,1098,687,832,357,322,32,20,11100,11849,8944,10611,4660,5511,6779,7766,5958,6564,9257,10037,1587,1648,1548,1552,1984,1929,4301,4277,1869,1885,2801,2923,2133,2251,3212,3282,830,828,1133,1318,345,339,1117,1341,1052,1254,841,966,407,349,44,6
